dates,venue,city,home_team,team_1,team_2,total_matches_team1,total_matches_team2,toss_winner,total_wins_team1,total_wins_team2,toss_decision,umpire_1,umpire_2,match_winner,head_to_head,total_loses_team1,total_loses_team2,win_ratio_team1,win_ratio_team2,lose_ratio_team1,lose_ratio_team2
2019-11-10,Eden Park,Auckland,New Zealand,England,New Zealand,,,New Zealand,,,field,CB Gaffaney,WR Knights,England,,,,,,,
2019-11-10,Vidarbha Cricket Association Stadium,Nagpur,India,India,Bangladesh,,,Bangladesh,,,field,AK Chaudhary,CK Nandan,India,,,,,,,
2019-11-14,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,none,Afghanistan,West Indies,,,Afghanistan,,,field,Ahmed Shah Pakteen,Ahmed Shah Durrani,West Indies,,,,,,,
2019-11-16,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,none,Afghanistan,West Indies,,,Afghanistan,,,bat,Ahmed Shah Durrani,Izatullah Safi,Afghanistan,,,,,,,
2019-11-17,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,none,Afghanistan,West Indies,,,Afghanistan,,,bat,Ahmed Shah Pakteen,Izatullah Safi,Afghanistan,,,,,,,
2019-12-05,Tribhuvan University International Cricket Ground,Kirtipur,Nepal,Nepal,Bhutan,,,Bhutan,,,field,ID Gunawardene,BB Pradhan,Nepal,,,,,,,
2019-12-06,Rajiv Gandhi International Stadium,Hyderabad,India,India,West Indies,,,India,,,field,C Shamshuddin,Nitin Menon,India,,,,,,,
2019-12-06,Tribhuvan University International Cricket Ground,Kirtipur,Nepal,Nepal,Maldives,,,Nepal,,,bat,BB Pradhan,ID Gunawardene,Nepal,,,,,,,
2019-12-07,Tribhuvan University International Cricket Ground,Kirtipur,none,Bhutan,Maldives,,,Maldives,,,field,ID Gunawardene,BB Pradhan,Maldives,,,,,,,
2019-12-08,Greenfield International Stadium,Thiruvananthapuram,India,India,West Indies,,,West Indies,,,field,AK Chaudhary,CK Nandan,West Indies,,,,,,,
2019-12-09,Tribhuvan University International Cricket Ground,Kirtipur,Nepal,Nepal,Maldives,,,Nepal,,,field,ID Gunawardene,BB Pradhan,Nepal,,,,,,,
