dates,venue,city,home_team,team_1,team_2,total_matches_team1,total_matches_team2,toss_winner,total_wins_team1,total_wins_team2,toss_decision,umpire_1,umpire_2,match_winner,head_to_head,total_loses_team1,total_loses_team2,win_ratio_team1,win_ratio_team2,lose_ratio_team1,lose_ratio_team2
2007-09-12,Kingsmead,Durban,none,Pakistan,Scotland,,,Scotland,,,field,SJ Davis,SJA Taufel,Pakistan,,,,,,,
2007-09-12,Newlands,Cape Town,none,Australia,Zimbabwe,6,,Australia,,,bat,Asad Rauf,AL Hill,Zimbabwe,,,,,,,
2007-09-13,New Wanderers Stadium,Johannesburg,none,Bangladesh,West Indies,,,Bangladesh,,,field,MR Benson,NJ Llong,Bangladesh,,,,,,,
2007-09-13,Newlands,Cape Town,none,England,Zimbabwe,,,England,,,bat,Asad Rauf,AL Hill,England,,,,,,,
2007-09-14,Kingsmead,Durban,none,Pakistan,India,,,India,,,field,BR Doctrove,SJA Taufel,Pakistan,,,,,,,
2007-09-14,New Wanderers Stadium,Johannesburg,none,Kenya,Sri Lanka,,,Kenya,,,field,DJ Harper,NJ Llong,Sri Lanka,,,,,,,
2007-09-14,Newlands,Cape Town,none,Australia,England,7,,England,,,bat,Asad Rauf,IL Howell,Australia,,,,,,,
2007-09-15,New Wanderers Stadium,Johannesburg,none,New Zealand,Sri Lanka,,,New Zealand,,,bat,MR Benson,DJ Harper,Sri Lanka,,,,,,,
2007-09-15,Newlands,Cape Town,South Africa,South Africa,Bangladesh,,,South Africa,,,field,Asad Rauf,AL Hill,South Africa,,,,,,,
2007-09-16,New Wanderers Stadium,Johannesburg,none,India,New Zealand,,,India,,,field,MR Benson,NJ Llong,New Zealand,,,,,,,
2007-09-16,Newlands,Cape Town,none,Australia,Bangladesh,8,,Australia,,,field,Asad Rauf,IL Howell,Australia,,,,,,,
2007-09-16,Newlands,Cape Town,South Africa,South Africa,England,,,England,,,field,Asad Rauf,AL Hill,South Africa,,,,,,,
2007-09-17,New Wanderers Stadium,Johannesburg,none,Pakistan,Sri Lanka,,,Sri Lanka,,,field,DJ Harper,NJ Llong,Pakistan,,,,,,,
2007-09-18,Kingsmead,Durban,none,England,New Zealand,,,England,,,field,BR Doctrove,SJA Taufel,New Zealand,,,,,,,
2007-09-18,New Wanderers Stadium,Johannesburg,none,Bangladesh,Sri Lanka,,,Bangladesh,,,field,MR Benson,DJ Harper,Sri Lanka,,,,,,,
2007-09-18,New Wanderers Stadium,Johannesburg,none,Australia,Pakistan,9,,Pakistan,,,field,MR Benson,NJ Llong,Pakistan,,,,,,,
2007-09-19,Kingsmead,Durban,none,England,India,,,India,,,bat,BR Doctrove,SJA Taufel,India,,,,,,,
2007-09-19,Kingsmead,Durban,South Africa,South Africa,New Zealand,,,South Africa,,,field,BR Doctrove,SJA Taufel,South Africa,,,,,,,
2007-09-20,Kingsmead,Durban,South Africa,South Africa,India,,,India,,,bat,BR Doctrove,SJA Taufel,India,,,,,,,
2007-09-20,Newlands,Cape Town,none,Australia,Sri Lanka,10,,Australia,,,field,Asad Rauf,IL Howell,Australia,,,,,,,
2007-09-20,Newlands,Cape Town,none,Bangladesh,Pakistan,,,Pakistan,,,field,AL Hill,IL Howell,Pakistan,,,,,,,
2007-09-22,Kingsmead,Durban,none,Australia,India,11,,India,,,bat,Asad Rauf,MR Benson,India,,,,,,,
2007-09-22,Newlands,Cape Town,none,New Zealand,Pakistan,,,New Zealand,,,bat,DJ Harper,SJA Taufel,Pakistan,,,,,,,
2007-09-24,New Wanderers Stadium,Johannesburg,none,India,Pakistan,,,India,,,bat,MR Benson,SJA Taufel,India,,,,,,,
2007-10-20,Brabourne Stadium,Mumbai,India,India,Australia,,12,Australia,,,bat,AM Saheba,SL Shastri,India,,,,,,,
2007-11-23,New Wanderers Stadium,Johannesburg,South Africa,South Africa,New Zealand,,,South Africa,,,field,IL Howell,BG Jerling,South Africa,,,,,,,
2007-12-11,Western Australia Cricket Association Ground,Perth,Australia,Australia,New Zealand,13,,Australia,,,bat,SJ Davis,PD Parker,Australia,,,,,,,
2007-12-16,St Georges Park,Port Elizabeth,South Africa,South Africa,West Indies,,,West Indies,,,field,IL Howell,BG Jerling,West Indies,,,,,,,
2008-01-18,New Wanderers Stadium,Johannesburg,South Africa,South Africa,West Indies,,,South Africa,,,field,BG Jerling,RE Koertzen,South Africa,,,,,,,
2008-02-01,Melbourne Cricket Ground,Melbourne,Australia,Australia,India,14,,India,,,bat,BNJ Oxenford,SJA Taufel,Australia,,,,,,,
2008-02-05,Eden Park,Auckland,New Zealand,New Zealand,England,,,New Zealand,,,field,GAV Baxter,BF Bowden,England,,,,,,,
2008-02-07,Jade Stadium,Christchurch,New Zealand,New Zealand,England,,,England,,,bat,GAV Baxter,BF Bowden,England,,,,,,,
2008-04-20,National Stadium,Karachi,Pakistan,Pakistan,Bangladesh,,,Pakistan,,,bat,Nadeem Ghauri,Zameer Haider,Pakistan,,,,,,,
2008-06-13,Old Trafford,Manchester,England,England,New Zealand,,,England,,,field,IJ Gould,PJ Hartley,England,,,,,,,
2008-06-20,Kensington Oval,Barbados,West Indies,West Indies,Australia,,15,West Indies,,,field,BR Doctrove,CR Duncan,West Indies,,,,,,,
2008-08-03,Civil Service Cricket Club,Belfast,none,Bermuda,Scotland,,,Scotland,,,field,NG Bagh,Sarika Prasad,Scotland,,,,,,,
2008-08-04,Civil Service Cricket Club,Belfast,Ireland,Ireland,Kenya,,,Ireland,,,field,DB Hair,Sarika Prasad,Ireland,,,,,,,
2008-08-04,Civil Service Cricket Club,Belfast,none,Netherlands,Scotland,,,Netherlands,,,field,NG Bagh,PK Baldwin,Netherlands,,,,,,,
2008-10-11,Maple Leaf North-West Ground,King City,none,Pakistan,Sri Lanka,,,Pakistan,,,field,K Bayney,MR Benson,Pakistan,,,,,,,
2008-10-13,Maple Leaf North-West Ground,King City,none,Pakistan,Sri Lanka,,,Sri Lanka,,,field,K Bayney,MR Benson,Sri Lanka,,,,,,,
2008-11-05,New Wanderers Stadium,Johannesburg,South Africa,South Africa,Bangladesh,,,Bangladesh,,,field,M Erasmus,BG Jerling,South Africa,,,,,,,
2008-12-26,Eden Park,Auckland,New Zealand,West Indies,New Zealand,,,New Zealand,,,bat,BF Bowden,AL Hill,New Zealand,,,,,,,
2008-12-28,Seddon Park,Hamilton,New Zealand,New Zealand,West Indies,,,New Zealand,,,bat,GAV Baxter,EA Watkin,New Zealand,,,,,,,
2009-01-11,Melbourne Cricket Ground,Melbourne,Australia,Australia,South Africa,16,,Australia,,,bat,BNJ Oxenford,RJ Tucker,Australia,,,,,,,
2009-01-13,Brisbane Cricket Ground,Brisbane,Australia,Australia,South Africa,17,,South Africa,,,bat,PR Reiffel,RJ Tucker,Australia,,,,,,,
2009-02-10,R Premadasa Stadium,Colombo,Sri Lanka,Sri Lanka,India,,,Sri Lanka,,,bat,MG Silva,TH Wijewardene,India,,,,,,,
2009-02-15,Sydney Cricket Ground,Sydney,Australia,Australia,New Zealand,18,,Australia,,,bat,BNJ Oxenford,PR Reiffel,Australia,,,,,,,
2009-02-25,AMI Stadium,Christchurch,New Zealand,New Zealand,India,,,New Zealand,,,field,GAV Baxter,EA Watkin,New Zealand,,,,,,,
2009-02-27,Westpac Stadium,Wellington,New Zealand,New Zealand,India,,,New Zealand,,,field,GAV Baxter,AL Hill,New Zealand,,,,,,,
2009-03-15,Queens Park Oval,Trinidad,West Indies,West Indies,England,,,West Indies,,,field,CR Duncan,NA Malcolm,West Indies,,,,,,,
2009-03-27,New Wanderers Stadium,Johannesburg,South Africa,South Africa,Australia,,19,South Africa,,,field,M Erasmus,RE Koertzen,South Africa,,,,,,,
2009-03-29,SuperSport Park,Centurion,South Africa,South Africa,Australia,,20,Australia,,,field,M Erasmus,BG Jerling,South Africa,,,,,,,
2009-05-07,Dubai International Cricket Stadium,Dubai,none,Australia,Pakistan,21,,Pakistan,,,field,Aleem Dar,Zameer Haider,Pakistan,,,,,,,
2009-06-05,Lords,London,England,England,Netherlands,,,Netherlands,,,field,SJ Davis,EAR de Silva,Netherlands,,,,,,,
2009-06-06,Kennington Oval,London,none,Australia,West Indies,22,,Australia,,,bat,Aleem Dar,Asad Rauf,West Indies,,,,,,,
2009-06-06,Kennington Oval,London,none,New Zealand,Scotland,,,New Zealand,,,field,BR Doctrove,DJ Harper,New Zealand,,,,,,,
2009-06-06,Trent Bridge,Nottingham,none,Bangladesh,India,,,India,,,bat,BF Bowden,SJA Taufel,India,,,,,,,
2009-06-07,Kennington Oval,London,England,England,Pakistan,,,Pakistan,,,field,BR Doctrove,DJ Harper,England,,,,,,,
2009-06-07,Kennington Oval,London,none,Scotland,South Africa,,,Scotland,,,field,Asad Rauf,AM Saheba,South Africa,,,,,,,
2009-06-08,Trent Bridge,Nottingham,none,Bangladesh,Ireland,,,Ireland,,,field,NJ Llong,SJA Taufel,Ireland,,,,,,,
2009-06-08,Trent Bridge,Nottingham,none,Australia,Sri Lanka,23,,Sri Lanka,,,field,BF Bowden,IJ Gould,Sri Lanka,,,,,,,
2009-06-09,Lords,London,none,New Zealand,South Africa,,,New Zealand,,,field,Asad Rauf,DJ Harper,South Africa,,,,,,,
2009-06-09,Lords,London,none,Netherlands,Pakistan,,,Pakistan,,,bat,BR Doctrove,AM Saheba,Pakistan,,,,,,,
2009-06-10,Trent Bridge,Nottingham,none,India,Ireland,,,India,,,field,IJ Gould,NJ Llong,India,,,,,,,
2009-06-10,Trent Bridge,Nottingham,none,Sri Lanka,West Indies,,,West Indies,,,field,BF Bowden,SJA Taufel,Sri Lanka,,,,,,,
2009-06-11,Trent Bridge,Nottingham,England,England,South Africa,,,England,,,bat,SJ Davis,AL Hill,South Africa,,,,,,,
2009-06-11,Trent Bridge,Nottingham,none,Ireland,New Zealand,,,Ireland,,,field,EAR de Silva,M Erasmus,New Zealand,,,,,,,
2009-06-12,Lords,London,none,India,West Indies,,,India,,,bat,Aleem Dar,RE Koertzen,West Indies,,,,,,,
2009-06-12,Lords,London,none,Pakistan,Sri Lanka,,,Sri Lanka,,,bat,MR Benson,RE Koertzen,Sri Lanka,,,,,,,
2009-06-13,Kennington Oval,London,none,New Zealand,Pakistan,,,New Zealand,,,bat,MR Benson,RJ Tucker,Pakistan,,,,,,,
2009-06-13,Kennington Oval,London,none,South Africa,West Indies,,,West Indies,,,field,Aleem Dar,MR Benson,South Africa,,,,,,,
2009-06-14,Lords,London,England,England,India,,,India,,,field,SJ Davis,EAR de Silva,England,,,,,,,
2009-06-14,Lords,London,none,Ireland,Sri Lanka,,,Sri Lanka,,,bat,M Erasmus,AL Hill,Sri Lanka,,,,,,,
2009-06-15,Kennington Oval,London,England,England,West Indies,,,England,,,bat,Aleem Dar,RE Koertzen,West Indies,,,,,,,
2009-06-15,Kennington Oval,London,none,Ireland,Pakistan,,,Pakistan,,,bat,RE Koertzen,RJ Tucker,Pakistan,,,,,,,
2009-06-16,Trent Bridge,Nottingham,none,India,South Africa,,,South Africa,,,bat,BF Bowden,IJ Gould,South Africa,,,,,,,
2009-06-16,Trent Bridge,Nottingham,none,New Zealand,Sri Lanka,,,Sri Lanka,,,bat,SJ Davis,SJA Taufel,Sri Lanka,,,,,,,
2009-06-18,Trent Bridge,Nottingham,none,Pakistan,South Africa,,,Pakistan,,,bat,BF Bowden,SJ Davis,Pakistan,,,,,,,
2009-06-19,Kennington Oval,London,none,Sri Lanka,West Indies,,,West Indies,,,field,Aleem Dar,RE Koertzen,Sri Lanka,,,,,,,
2009-06-21,Lords,London,none,Pakistan,Sri Lanka,,,Sri Lanka,,,bat,DJ Harper,SJA Taufel,Pakistan,,,,,,,
2009-08-02,Warner Park,St Kitts,West Indies,West Indies,Bangladesh,,,Bangladesh,,,bat,CR Duncan,NA Malcolm,West Indies,,,,,,,
2009-08-12,R Premadasa Stadium,Colombo,Sri Lanka,Sri Lanka,Pakistan,,,Pakistan,,,bat,EAR de Silva,TH Wijewardene,Pakistan,,,,,,,
2009-08-30,Old Trafford,Manchester,England,Australia,England,24,,England,,,field,IJ Gould,RA Kettleborough,England,,,,,,,
2009-09-02,R Premadasa Stadium,Colombo,Sri Lanka,Sri Lanka,New Zealand,,,New Zealand,,,bat,EAR de Silva,HDPK Dharmasena,New Zealand,,,,,,,
2009-09-04,R Premadasa Stadium,Colombo,Sri Lanka,Sri Lanka,New Zealand,,,New Zealand,,,bat,MG Silva,TH Wijewardene,New Zealand,,,,,,,
2009-11-12,Dubai International Cricket Stadium,Dubai,none,New Zealand,Pakistan,,,New Zealand,,,field,Nadeem Ghauri,Zameer Haider,Pakistan,,,,,,,
2009-11-13,Dubai International Cricket Stadium,Dubai,none,New Zealand,Pakistan,,,Pakistan,,,bat,Nadeem Ghauri,Zameer Haider,Pakistan,,,,,,,
2009-11-13,New Wanderers Stadium,Johannesburg,South Africa,South Africa,England,,,South Africa,,,field,M Erasmus,BG Jerling,England,,,,,,,
2009-11-15,SuperSport Park,Centurion,South Africa,South Africa,England,,,South Africa,,,bat,M Erasmus,BG Jerling,South Africa,,,,,,,
2009-12-09,Vidarbha Cricket Association Stadium,Nagpur,India,India,Sri Lanka,,,India,,,field,AM Saheba,SK Tarapore,Sri Lanka,,,,,,,
2009-12-12,Punjab Cricket Association Stadium,Chandigarh,India,India,Sri Lanka,,,Sri Lanka,,,bat,SS Hazare,SK Tarapore,India,,,,,,,
2010-02-03,Seddon Park,Hamilton,New Zealand,New Zealand,Bangladesh,,,Bangladesh,,,bat,GAV Baxter,CB Gaffaney,New Zealand,,,,,,,
2010-02-05,Melbourne Cricket Ground,Melbourne,Australia,Australia,Pakistan,25,,Australia,,,bat,PR Reiffel,RJ Tucker,Australia,,,,,,,
2010-02-09,Dubai International Cricket Stadium,Dubai,none,Canada,Netherlands,,,Canada,,,bat,Aleem Dar,SR Modi,Netherlands,,,,,,,
2010-02-09,Dubai International Cricket Stadium,Dubai,none,Afghanistan,Ireland,,,Ireland,,,field,JJ Luck,SR Modi,Afghanistan,1,,,,,,
2010-02-10,Dubai International Cricket Stadium,Dubai,none,Canada,Kenya,,,Kenya,,,field,JJ Luck,Sarika Prasad,Kenya,,,,,,,
2010-02-11,Dubai International Cricket Stadium,Dubai,none,Ireland,Scotland,,,Ireland,,,bat,Aleem Dar,PK Baldwin,Ireland,,,,,,,
2010-02-12,Dubai International Cricket Stadium,Dubai,none,Afghanistan,Netherlands,,,Netherlands,,,field,SR Modi,Sarika Prasad,Netherlands,,,,,,,
2010-02-13,Dubai International Cricket Stadium,Dubai,none,Afghanistan,Ireland,,,Ireland,,,bat,PK Baldwin,Sarika Prasad,Afghanistan,2,,,,,,
2010-02-13,Dubai International Cricket Stadium,Dubai,none,Ireland,Netherlands,,,Ireland,,,bat,Aleem Dar,SR Modi,Ireland,,,,,,,
2010-02-19,Dubai International Cricket Stadium,Dubai,none,England,Pakistan,,,Pakistan,,,bat,EAR de Silva,HDPK Dharmasena,England,,,,,,,
2010-02-20,Dubai International Cricket Stadium,Dubai,none,England,Pakistan,,,Pakistan,,,field,EAR de Silva,Enamul Haque,Pakistan,,,,,,,
2010-02-21,Bellerive Oval,Hobart,Australia,Australia,West Indies,26,,Australia,,,bat,BNJ Oxenford,PR Reiffel,Australia,,,,,,,
2010-02-23,Sydney Cricket Ground,Sydney,Australia,Australia,West Indies,27,,West Indies,,,bat,BNJ Oxenford,RJ Tucker,Australia,,,,,,,
2010-02-26,Westpac Stadium,Wellington,New Zealand,New Zealand,Australia,,28,New Zealand,,,bat,GAV Baxter,BF Bowden,Australia,,,,,,,
2010-02-28,AMI Stadium,Christchurch,New Zealand,Australia,New Zealand,29,,New Zealand,,,bat,CB Gaffaney,AL Hill,New Zealand,,,,,,,
2010-02-28,Queens Park Oval,Trinidad,West Indies,West Indies,Zimbabwe,,,Zimbabwe,,,bat,CR Duncan,NA Malcolm,Zimbabwe,,,,,,,
2010-04-30,Providence Stadium,Guyana,none,New Zealand,Sri Lanka,,,Sri Lanka,,,bat,SJ Davis,RE Koertzen,New Zealand,,,,,,,
2010-04-30,Providence Stadium,Guyana,none,West Indies,Ireland,,,West Indies,,,bat,Asad Rauf,BF Bowden,West Indies,,,,,,,
2010-05-01,Beausejour Stadium,St Lucia,none,Afghanistan,India,,,India,,,field,Aleem Dar,M Erasmus,India,,,,,,,
2010-05-01,Beausejour Stadium,St Lucia,none,Bangladesh,Pakistan,,,Pakistan,,,bat,EAR de Silva,RJ Tucker,Pakistan,,,,,,,
2010-05-02,Beausejour Stadium,St Lucia,none,Australia,Pakistan,30,,Australia,,,bat,EAR de Silva,SK Tarapore,Australia,,,,,,,
2010-05-02,Beausejour Stadium,St Lucia,none,India,South Africa,,,South Africa,,,field,Aleem Dar,SJA Taufel,India,,,,,,,
2010-05-03,Providence Stadium,Guyana,none,Sri Lanka,Zimbabwe,,,Sri Lanka,,,bat,BR Doctrove,IJ Gould,Sri Lanka,,,,,,,
2010-05-03,Providence Stadium,Guyana,none,West Indies,England,,,West Indies,,,field,AL Hill,RE Koertzen,West Indies,,,,,,,
2010-05-04,Providence Stadium,Guyana,none,Ireland,England,,,England,,,field,BF Bowden,AL Hill,Ireland,,,,,,,
2010-05-04,Providence Stadium,Guyana,none,New Zealand,Zimbabwe,,,New Zealand,,,field,Asad Rauf,SJ Davis,New Zealand,,,,,,,
2010-05-05,Kensington Oval,Barbados,none,Afghanistan,South Africa,,,Afghanistan,,,field,IJ Gould,SJA Taufel,South Africa,,,,,,,
2010-05-05,Kensington Oval,Barbados,none,Australia,Bangladesh,31,,Australia,,,bat,Aleem Dar,BR Doctrove,Australia,,,,,,,
2010-05-06,Kensington Oval,Barbados,none,England,Pakistan,,,England,,,field,BF Bowden,RE Koertzen,England,,,,,,,
2010-05-06,Kensington Oval,Barbados,none,New Zealand,South Africa,,,South Africa,,,bat,Aleem Dar,SJ Davis,South Africa,,,,,,,
2010-05-07,Kensington Oval,Barbados,none,Australia,India,32,,India,,,field,BF Bowden,BR Doctrove,Australia,,,,,,,
2010-05-07,Kensington Oval,Barbados,West Indies,West Indies,Sri Lanka,,,Sri Lanka,,,bat,RE Koertzen,SJA Taufel,Sri Lanka,,,,,,,
2010-05-08,Kensington Oval,Barbados,none,England,South Africa,,,England,,,bat,Aleem Dar,SJ Davis,England,,,,,,,
2010-05-08,Kensington Oval,Barbados,none,New Zealand,Pakistan,,,Pakistan,,,field,BR Doctrove,IJ Gould,New Zealand,,,,,,,
2010-05-09,Kensington Oval,Barbados,none,Australia,Sri Lanka,33,,Australia,,,bat,IJ Gould,RE Koertzen,Australia,,,,,,,
2010-05-09,Kensington Oval,Barbados,West Indies,West Indies,India,,,India,,,field,BF Bowden,SJA Taufel,West Indies,,,,,,,
2010-05-10,Beausejour Stadium,St Lucia,none,England,New Zealand,,,New Zealand,,,bat,SJ Davis,SJA Taufel,England,,,,,,,
2010-05-10,Beausejour Stadium,St Lucia,none,Pakistan,South Africa,,,Pakistan,,,bat,BR Doctrove,IJ Gould,Pakistan,,,,,,,
2010-05-11,Beausejour Stadium,St Lucia,none,India,Sri Lanka,,,India,,,bat,Aleem Dar,SJ Davis,Sri Lanka,,,,,,,
2010-05-11,Beausejour Stadium,St Lucia,West Indies,West Indies,Australia,,34,West Indies,,,bat,BF Bowden,RE Koertzen,Australia,,,,,,,
2010-05-13,Beausejour Stadium,St Lucia,none,England,Sri Lanka,,,Sri Lanka,,,bat,Aleem Dar,SJA Taufel,England,,,,,,,
2010-05-14,Beausejour Stadium,St Lucia,none,Australia,Pakistan,35,,Australia,,,field,BR Doctrove,IJ Gould,Australia,,,,,,,
2010-05-16,Kensington Oval,Barbados,none,Australia,England,36,,England,,,field,Aleem Dar,BR Doctrove,England,,,,,,,
2010-05-19,Sir Vivian Richards Stadium,Antigua,West Indies,West Indies,South Africa,,,West Indies,,,field,CR Duncan,NA Malcolm,South Africa,,,,,,,
2010-05-20,Sir Vivian Richards Stadium,Antigua,West Indies,West Indies,South Africa,,,West Indies,,,field,CR Duncan,NA Malcolm,South Africa,,,,,,,
2010-05-22,Central Broward Regional Park Stadium Turf Ground,Lauderhill,none,New Zealand,Sri Lanka,,,New Zealand,,,bat,M Erasmus,IJ Gould,New Zealand,,,,,,,
2010-05-23,Central Broward Regional Park Stadium Turf Ground,Lauderhill,none,New Zealand,Sri Lanka,,,New Zealand,,,bat,M Erasmus,RJ Tucker,Sri Lanka,,,,,,,
2010-06-12,Harare Sports Club,Harare,Zimbabwe,Zimbabwe,India,,,India,,,field,O Chirombe,RB Tiffin,India,,,,,,,
2010-06-13,Harare Sports Club,Harare,Zimbabwe,Zimbabwe,India,,,India,,,field,O Chirombe,RB Tiffin,India,,,,,,,
2010-07-05,Edgbaston,Birmingham,none,Australia,Pakistan,37,,Pakistan,,,bat,Aleem Dar,Asad Rauf,Pakistan,,,,,,,
2010-07-06,Edgbaston,Birmingham,none,Australia,Pakistan,38,,Pakistan,,,bat,Asad Rauf,Zameer Haider,Pakistan,,,,,,,
2010-09-05,Sophia Gardens,Cardiff,England,England,Pakistan,,,England,,,field,RA Kettleborough,NJ Llong,England,,,,,,,
2010-09-07,Sophia Gardens,Cardiff,England,England,Pakistan,,,Pakistan,,,bat,IJ Gould,RK Illingworth,England,,,,,,,
2010-10-08,OUTsurance Oval,Bloemfontein,South Africa,South Africa,Zimbabwe,,,Zimbabwe,,,bat,JD Cloete,BG Jerling,South Africa,,,,,,,
2010-10-10,De Beers Diamond Oval,Kimberley,South Africa,South Africa,Zimbabwe,,,South Africa,,,bat,S George,BG Jerling,South Africa,,,,,,,
2010-10-26,Sheikh Zayed Stadium,Abu Dhabi,none,Pakistan,South Africa,,,Pakistan,,,bat,Ahsan Raza,Asad Rauf,South Africa,,,,,,,
2010-10-27,Sheikh Zayed Stadium,Abu Dhabi,none,Pakistan,South Africa,,,Pakistan,,,bat,Asad Rauf,Nadeem Ghauri,South Africa,,,,,,,
2010-10-31,Western Australia Cricket Association Ground,Perth,Australia,Australia,Sri Lanka,39,,Australia,,,bat,BNJ Oxenford,PR Reiffel,Sri Lanka,,,,,,,
2010-12-26,Eden Park,Auckland,New Zealand,New Zealand,Pakistan,,,New Zealand,,,field,BF Bowden,BG Frost,New Zealand,,,,,,,
2010-12-28,Seddon Park,Hamilton,New Zealand,New Zealand,Pakistan,,,Pakistan,,,field,GAV Baxter,CB Gaffaney,New Zealand,,,,,,,
2010-12-30,AMI Stadium,Christchurch,New Zealand,New Zealand,Pakistan,,,Pakistan,,,bat,GAV Baxter,CB Gaffaney,Pakistan,,,,,,,
2011-01-09,Moses Mabhida Stadium,Durban,South Africa,South Africa,India,,,India,,,bat,M Erasmus,BG Jerling,India,,,,,,,
2011-01-12,Adelaide Oval,Adelaide,Australia,Australia,England,40,,Australia,,,bat,SD Fry,BNJ Oxenford,England,,,,,,,
2011-01-14,Melbourne Cricket Ground,Melbourne,Australia,Australia,England,41,,Australia,,,bat,BNJ Oxenford,PR Reiffel,Australia,,,,,,,
2011-04-21,Beausejour Stadium,St Lucia,West Indies,West Indies,Pakistan,,,West Indies,,,bat,NA Malcolm,PJ Nero,West Indies,,,,,,,
2011-06-04,Queens Park Oval,Trinidad,West Indies,West Indies,India,,,West Indies,,,field,NA Malcolm,PJ Nero,India,,,,,,,
2011-06-25,County Ground,Bristol,England,England,Sri Lanka,,,Sri Lanka,,,field,RA Kettleborough,NJ Llong,Sri Lanka,,,,,,,
2011-08-06,Pallekele International Cricket Stadium,Kandy,Sri Lanka,Sri Lanka,Australia,,42,Australia,,,field,EAR de Silva,RSA Palliyaguruge,Sri Lanka,,,,,,,
2011-08-08,Pallekele International Cricket Stadium,Kandy,Sri Lanka,Sri Lanka,Australia,,43,Sri Lanka,,,bat,REJ Martinesz,RSA Palliyaguruge,Sri Lanka,,,,,,,
2011-08-31,Old Trafford,Manchester,England,England,India,,,India,,,bat,RJ Bailey,RK Illingworth,England,,,,,,,
2011-09-16,Harare Sports Club,Harare,Zimbabwe,Zimbabwe,Pakistan,,,Zimbabwe,,,field,TJ Matibiri,RB Tiffin,Pakistan,,,,,,,
2011-09-18,Harare Sports Club,Harare,Zimbabwe,Zimbabwe,Pakistan,,,Pakistan,,,bat,O Chirombe,TJ Matibiri,Pakistan,,,,,,,
2011-09-23,Kennington Oval,London,England,England,West Indies,,,England,,,field,RJ Bailey,NJ Llong,England,,,,,,,
2011-09-25,Kennington Oval,London,England,England,West Indies,,,England,,,field,RK Illingworth,NJ Llong,West Indies,,,,,,,
2011-10-11,Shere Bangla National Stadium,Mirpur,Bangladesh,Bangladesh,West Indies,,,Bangladesh,,,field,Enamul Haque,Nadir Shah,Bangladesh,,,,,,,
2011-10-13,Newlands,Cape Town,South Africa,South Africa,Australia,,44,South Africa,,,bat,M Erasmus,AT Holdstock,Australia,,,,,,,
2011-10-15,Harare Sports Club,Harare,Zimbabwe,Zimbabwe,New Zealand,,,New Zealand,,,field,TJ Matibiri,RB Tiffin,New Zealand,,,,,,,
2011-10-16,New Wanderers Stadium,Johannesburg,South Africa,South Africa,Australia,,45,Australia,,,bat,JD Cloete,S George,South Africa,,,,,,,
2011-10-17,Harare Sports Club,Harare,Zimbabwe,Zimbabwe,New Zealand,,,Zimbabwe,,,field,O Chirombe,TJ Matibiri,New Zealand,,,,,,,
2011-10-29,Eden Gardens,Kolkata,India,India,England,,,India,,,bat,S Asnani,S Ravi,England,,,,,,,
2011-11-25,Sheikh Zayed Stadium,Abu Dhabi,none,Pakistan,Sri Lanka,,,Sri Lanka,,,bat,Ahsan Raza,Zameer Haider,Pakistan,,,,,,,
2011-11-29,Shere Bangla National Stadium,Mirpur,Bangladesh,Bangladesh,Pakistan,,,Pakistan,,,bat,Nadir Shah,Sharfuddoula,Pakistan,,,,,,,
2012-02-01,Stadium Australia,Sydney,Australia,Australia,India,46,,India,,,field,BNJ Oxenford,PR Reiffel,Australia,,,,,,,
2012-02-03,Melbourne Cricket Ground,Melbourne,Australia,Australia,India,47,,Australia,,,bat,SD Fry,BNJ Oxenford,India,,,,,,,
2012-02-11,Eden Park,Auckland,New Zealand,New Zealand,Zimbabwe,,,Zimbabwe,,,bat,GAV Baxter,BG Frost,New Zealand,,,,,,,
2012-02-14,Seddon Park,Hamilton,New Zealand,New Zealand,Zimbabwe,,,Zimbabwe,,,bat,CB Gaffaney,AL Hill,New Zealand,,,,,,,
2012-02-17,Westpac Stadium,Wellington,New Zealand,New Zealand,South Africa,,,New Zealand,,,field,GAV Baxter,BG Frost,New Zealand,,,,,,,
2012-02-19,Seddon Park,Hamilton,New Zealand,New Zealand,South Africa,,,South Africa,,,field,GAV Baxter,CB Gaffaney,South Africa,,,,,,,
2012-02-22,Eden Park,Auckland,New Zealand,New Zealand,South Africa,,,New Zealand,,,field,GAV Baxter,CB Gaffaney,South Africa,,,,,,,
2012-02-22,Mombasa Sports Club Ground,Mombasa,Kenya,Kenya,Ireland,,,Ireland,,,field,S George,D Odhiambo,Ireland,,,,,,,
2012-02-23,Dubai International Cricket Stadium,Dubai,none,England,Pakistan,,,England,,,field,Ahsan Raza,Shozab Raza,Pakistan,,,,,,,
2012-02-23,Mombasa Sports Club Ground,Mombasa,Kenya,Kenya,Ireland,,,Kenya,,,bat,S George,D Odhiambo,Ireland,,,,,,,
2012-02-24,Mombasa Sports Club Ground,Mombasa,Kenya,Kenya,Ireland,,,Ireland,,,bat,S George,D Odhiambo,Ireland,,,,,,,
2012-02-25,Dubai International Cricket Stadium,Dubai,none,England,Pakistan,,,England,,,bat,Ahsan Raza,Zameer Haider,England,,,,,,,
2012-02-27,Sheikh Zayed Stadium,Abu Dhabi,none,England,Pakistan,,,England,,,bat,Shozab Raza,Zameer Haider,England,,,,,,,
